id,title,cuisine,ingredients,steps,servings,tags
1,Chicken Curry,Indian,chicken|onion|tomato|garlic|ginger|turmeric|salt|oil|water,"1. Heat oil in a pan. 2. Add chopped onion and sauté until golden. 3. Add garlic and ginger and cook briefly. 4. Add tomato and turmeric, cook until soft. 5. Add chicken and salt, mix well. 6. Add water and simmer until chicken is cooked.",4,non-veg
2,Vegetable Stir Fry,Chinese,broccoli|carrot|bell_pepper|cabbage|garlic|salt|oil,"1. Heat oil in a wok. 2. Add garlic and sauté lightly. 3. Add vegetables and stir fry on high heat. 4. Season with salt and cook until crisp-tender.",2,vegan
3,Chickpea Tomato Curry,Indian,chickpeas|onion|tomato|garlic|ginger|turmeric|salt|oil|water,"1. Heat oil and sauté onion. 2. Add garlic and ginger. 3. Add tomato and turmeric and cook until thick. 4. Add chickpeas and salt. 5. Add water and simmer.",3,vegan
4,Egg Bhurji,Indian,egg|onion|tomato|garlic|turmeric|salt|oil,"1. Heat oil and sauté onion. 2. Add garlic and tomato. 3. Add turmeric and salt. 4. Pour beaten eggs and scramble until cooked.",2,vegetarian
5,Grilled Fish,Continental,fish|lemon|garlic|salt|oil,"1. Marinate fish with lemon, garlic, and salt. 2. Heat pan with oil. 3. Grill fish on both sides until cooked.",2,non-veg
6,Aloo Sabzi,Indian,potato|onion|turmeric|salt|oil|water,"1. Heat oil and sauté onion. 2. Add turmeric and potatoes. 3. Add salt and water. 4. Cover and cook until potatoes are soft.",3,vegan
7,Tofu Stir Fry,Chinese,tofu|bell_pepper|spring_onion|garlic|salt|oil,"1. Heat oil and sauté garlic. 2. Add tofu and fry lightly. 3. Add vegetables and salt. 4. Stir fry until done.",2,vegan
8,Okra Fry,Indian,okra|onion|garlic|salt|oil,"1. Heat oil and sauté onion. 2. Add garlic and okra. 3. Cook until okra is tender and lightly crisp.",2,vegan
9,Vegetable Soup,Continental,carrot|cabbage|broccoli|onion|salt|water,"1. Boil water with vegetables. 2. Add salt. 3. Simmer until vegetables are soft.",3,vegan
10,Shrimp Stir Fry,Chinese,shrimp|garlic|bell_pepper|salt|oil,"1. Heat oil and sauté garlic. 2. Add shrimp and cook briefly. 3. Add bell pepper and salt. 4. Stir fry until shrimp is cooked.",2,non-veg
11,Eggplant Curry,Indian,eggplant|onion|tomato|garlic|turmeric|salt|oil|water,"1. Heat oil and sauté onion. 2. Add garlic and tomato. 3. Add turmeric and eggplant. 4. Add salt and water. 5. Cook until soft.",3,vegan
12,Pumpkin Sabzi,Indian,pumpkin|onion|turmeric|salt|oil|water,"1. Heat oil and sauté onion. 2. Add pumpkin and turmeric. 3. Add salt and water. 4. Cook until tender.",3,vegan
13,Cabbage Stir Fry,Indian,cabbage|onion|garlic|salt|oil,"1. Heat oil and sauté onion. 2. Add garlic and cabbage. 3. Cook until soft.",2,vegan
14,Mutton Curry,Indian,mutton|onion|tomato|garlic|ginger|turmeric|salt|oil|water,"1. Heat oil and sauté onion. 2. Add garlic and ginger. 3. Add tomato and turmeric. 4. Add mutton and salt. 5. Add water and slow cook.",4,non-veg
15,Chicken Stir Fry,Chinese,chicken|bell_pepper|garlic|salt|oil,"1. Heat oil and sauté garlic. 2. Add chicken and cook until done. 3. Add bell pepper and salt. 4. Stir fry briefly.",2,non-veg
16,Radish Curry,Indian,radish|onion|turmeric|salt|oil|water,"1. Heat oil and sauté onion. 2. Add radish and turmeric. 3. Add salt and water. 4. Cook until tender.",3,vegan
